ALUNO,MENSAGEM
48,boa noit
50,boa
47,oi nen
48,retrospec base dad períod pass
47,vc ja baix lvr
48,aind nao
50,
56,car so pra mim ess fras sao confus oo
50,pra mim est profes fal sobr iss aind
47,
48,b ach est cert
50,`` c ''
48,ta confus
56,`` b '' pra mim ta cert tbm
48,d tamb caus final
48,outr ess fat
47,cra
47,nao pod iss
47,aqu ta rodan norm
50,b c
48,pod est cert tamb
48,nao est engan
48,confus
48,b c
50,d
48,ess outr ess fat
48,nao entend car
50,b c d
48,entend agor
56,c ta cert msm ond vc ach
48,tod mund condord
50,c mand ant
50,ach linkedin slidesh
50,ach
56,vam
50,viu imag
50,concord
48,concord
50,entend
56,ja respond
56,tbm nao deu boa
48,auxil entrev
48,sobr exam registr nao ach nad
50,aparec alg sobr enferm
56,4min repond ai tim
50,c deu bug agor kkk
47,vc acah qu
48,ja respond
47,pra respond
50,c dão exempl doenç est relacion outr
56,ent car iss to ach mto estranh
56,msm pesquis nao nad muit relacion altern
50,sim
50,tir c
48,sim
50,b d
50,fech
48,melhor acert parc err tud
50,mal ae tim
50,confund nó
50,respond
47,vai renan
47,respond vad
47,viad
47,
56,vc
56,respond
56,d nov
50,respond
56,tbm
50,boxt
47,aee
56,nic
48,fal
50,aaaaaaeee
50,pqp
50,legal
50,agor aquel excel
56,
47,modal
47,
56,modal n
47,esuc
47,to viaj
47,ta cert
47,respond
50,sim
50,fech
50,
50,o/
56,fals
48,opa
50,verdad fals
48,concord fals
50,b fals
56,ach eh verd car
56,deix pra dpoil
48,c nao ta cert ne
56,c fals
47,fals ne
48,suspeit
50,c fals
56,prim part livr mand noss e-mail
50,tenh aqu cadern parâmetr estim estatís med numér
56,diz `` estatis med numer descrev caracteris amostr ''
56,nao popul
50,hmmm
50,verdad
56,fals
47,d corret
47,b ach q tamb
47,algu ai ta lag
47,fp ta baix
48,aqu est
56,d ok
47,digit muit rapi
56,letr b rodrig fal ach eh fals
47,algum letr sa
47,ach b c cert
47,b d**
50,b fal iss pq to pens amostr popul
48,ness est total confus
47,nun vam respond questinari amanh
48,pra ser aul fusã
56,... .. esquec compr esquadr d nov
56,hauhauhuahuahuah
56,rodrigueee emprest regu
50,kkk
56,esquadr
50,fech
50,b tá corret noé
56,qu ach b ta cert
48,vam paintball
47,
47,ach si
47,im
47,sim
48,ach sim
56,coloq b d
50,mesm sej realiz popul tod pod serv pra ter estim
50,uhu
56,vai segur
48,grup ess
47,kxor
48,aqu nao col
56,fals
56,b verd
48,fals
50,b c
47,be
50,`` d '' fals
47,b c
48,b c
50,ach verd
48,nao
48,pes preç
50,kkk
50,hmm
56,ness imag nun mand
50,exempl
56,letr c nao fic fals tbm
56,pq zer natur nad send represent nivel ra nao interval
56,nível interval mensur simil ord sab magnitud diferenç entr doi val dad possu pont inic zer natur est cas ano censit sab magnitud diferenç entr ano temp começ zer '' ''
50,humm
50,boa
48,nível interval mensur simil ord sab magnitud diferenç entr doi val dad possu pont inic zer natur est cas ano censit sab magnitud diferenç entr ano temp começ zer
56,ah bao
56,vai mand msm cois entra
48,b
56,profes coleg nun ta copi olh fei
50,interess
48,mund intelig
47,b
48,preç nao rodrig
48,nao ach nad relacion iss
56,"car nao preç 0,00"
48,poss est err ach est err
56,nao sei pesquis so fal fal
50,interval pred interval val deriv estatís infer obje captur preç desconhec imóvel popul estud conceit popul defin it anteri cont natur aleatór esper dua amostr mesm merc imobili ter interval igual entretant voc repet amostr infinit vez cert percent interval constru irã cont preç desej bem popul percent dest interval pred contém preç imóvel conhec nível confianç interval
50,ach
50,fal sobr interval sobr ra
48,iss ia pergunt
48,mim ta err poss est engan decid vou
56,ctrl+f ness sit proc `` preç ''
56,unic sit ach relac preç á ra
50,sim
50,agor vi
50,escal ra utiliz qu pretend compar med absolut compar proporç muit útil par med vari idad preç númer consum volum vend rend famili
47,confus pra
56,pdf profes
56,nao nivel ra ne
50,ach nad sobr iss
47,car pes entr
47,pq preç nao entr
50,b
56,pesso
56,ach livr espanhol
56,ahseufhaeusfhau
47,hmmmmmm
47,just
56,vão pagin
47,sei la
56,pdf
56,el nivel medición razón
56,dem ctrl+f `` el nivel medición razón ''
56,exempl cit preç pes
56,nao sei livr ta cert ... ... parec ser
47,vot b
47,fould
48,enta bel
48,b
50,fech
48,respond
47,pront
47,
48,ooo
50,o/
50,falt renan
56,to aqu gent
48,alt
48,pel celul complic man
50,crei
47,bem complic
47,fórmul
48,
48,ouuuu
47,val inic vari
47,lembr
50,nó acess cad idad funcion
47,vari inic cert
47,idad est entr
50,desvi padr quatr
47,vai alter
47,vari est entr ess val
47,outr idad alt
48,ent
50,aí vc tá fal desvi padr vari
47,alter val foss mai men
47,vari
56,pqp tav faz calcul desvi padra
56,ah eh so elev quadr
50,pra mim alt algum cois aí
47,dad conjunt dad vari med dispers mostr quã dist cad val dess conjunt est val centr médi
47,simpl
47,aaa
48,ent ta estranh mesm pq distribu salári alt sim mesm val divid funcion pra alter
48,teoric
47,porém irá alter méd
56,"gent ... deu 5,42 menos"
56,o-o
48,"minh prim cont deu 4,8"
47,ach mesm
50,cálcul vc fiz
47,marq
47,aquel fórmul vc pass
48,marq
56,agor deu exat
47,conf irin
56,
56,"15,2 x"
56,x
56,enta nov result ser sej men
47,bor letr
56,fiz faz sent
56,nao sei
56,deu aqu
48,faz
47,si foud
48,med alt vari salari sim precis aument proporc salari
56,respond letr
47,bor
48,pra ter alter
50,"ond vc peg aquel 15,2"
47,vai rodrig
56,ja mand fot fiz
48,ess quest mei logic rodrig
56,nao vi ahsufhasuehfuas
47,ach
48,vey pens comig aument numer funcionari ia alter med idad alt val distribu salari
56,sim.. problem ach qto
56,enfim ... bor questa
47,á lógic val iri mud
48,"log aument membr 4,8 diferenç distribu salari kkk fiz cabec faç iss cas"
47,ser val diferenç pequen
47,ser just
50,blz
50,to tent calcul ess daqu agor
56,med quant
56,pfvr
50,"12,54"
48,"12,54"
47,desvi padr deu 2.7
47,mintii
48,"deu 1,759"
47,vari deu iss
50,"deu 1,76"
56,"deu 1,76 tbm"
48,"varianc deu 3,096"
47,iss
47,aqu
47,c d
48,c d
50,tb
50,"3,09598"
56,gente.. excel eh tao lind ne
56,so resolv
47,voa pai
50,c d
50,fech
47,respond
56,tbm
47,to aqu
47,eit min rst
47,cad vc
50,put vi tinh começ
47,q merd
50,b
50,c
50,ach ess
47,blz
50,d escor pod est acim méd abaix
47,car
47,aqu aparec respost ja
47,ser deu ruim
50,prim deu boa
47,v repond kk
50,b c
50,put
47,ser qu problem
50,vam esper nun
50,to mand ess quest pra what enquant entr
47,ta
47,qualu cois gent fal prof
50,sim
48,ooi
47,prim ja
48,voc sao muit rap
50,"jhonson 1,667"
50,"oneal 1,52"
50,correj
47,caravc muit rap
47,frex
50,use z x-méd /desvi padr
50,kkkkk
50,dfrex
48,voc est cert diss ma oe
50,c
47,oi
47,renan ta buga
48,oi
50,caiu net aqu maravilh
56,deu boa
56,ihu
50,iss mesm
50,c
47,c
48,c mesm
50,respond
48,tamb
47,tamb
48,l
48,
48,t
48,r
48,
48,c
